Entity,Code,Year,hypertensive_heart_disease_death_rate
Germany,DEU,2000,7.5795164
Germany,DEU,2001,7.771165
Germany,DEU,2002,8.414979
Germany,DEU,2003,9.315402
Germany,DEU,2004,9.4464035
Germany,DEU,2005,9.736816
Germany,DEU,2006,9.697755
Germany,DEU,2007,9.766206
Germany,DEU,2008,9.787082
Germany,DEU,2009,9.82987
Germany,DEU,2010,10.036583
Germany,DEU,2011,10.100017
Germany,DEU,2012,10.60781
Germany,DEU,2013,11.852793
Germany,DEU,2014,10.951002
Germany,DEU,2015,12.034011
Germany,DEU,2016,11.411768
Germany,DEU,2017,11.792015
Germany,DEU,2018,11.554943
Germany,DEU,2019,11.219283
